1,46
1,58
3,22
3,23
7,42
13,14
13,52
14,15
15,29
15,41
22,23
22,34
22,65
23,67
29,41
29,42
29,55
34,63
34,46
41,52
41,87
42,72
46,58
46,78
52,67
52,86
55,89
63,65
63,79
63,100
65,67
65,82
67,82
67,102
72,91
72,105
74,94
77,78
77,94
77,124
78,79
82,100
82,101
86,87
86,102
86,116
87,105
89,105
93,94
100,111
105,107
105,118
107,161
111,124
116,118
116,127
116,142
118,135
122,123
122,144
123,124
123,144
123,165
124,153
127,133
133,157
135,159
135,161
140,154
140,156
142,157
142,159
144,163
153,154
153,180
153,184
154,156
156,157
156,184
157,185
159,161
159,187
169,199
163,176
163,191
165,180
165,191
176,190
180,184
180,190
184,185
185,199
187,199
190,191

